molecule_chembl_id,canonical_smiles,standard_value,standard_units,assay_description
CHEMBL3350722,CC[C@H](C)[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CO)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCN)NC(=O)CN)[C@@H](C)O[C@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@H](C(=O)O)C(C)C,128000.0,nM,Minimum inhibitory concentration (lowest peptide concentration) required to prevent visible bacterial growth after 18 hr of incubation at 37 C in Mueller-Hinton broth against Acinetobacter baumannii 118A
CHEMBL2374234,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)CNC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@]2(C)CCCN2C(=O)[C@@H]2CCCN2C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)CNC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@@H]2CCCN2C(=O)[C@@H]2CCCN2C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]2CCCN2C1=O,128000.0,nM,Minimum inhibitory concentration (lowest peptide concentration) required to prevent visible bacterial growth after 18 hr of incubation at 37 C in Mueller-Hinton broth against Acinetobacter baumannii 118A
CHEMBL2370870,CC[C@H](C)[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](CO)NC(=O)[C@H](CO[C@H]1O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]1OC(C)=O)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CO)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCN)NC(=O)CN)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@H](C(=O)O)C(C)C,128000.0,nM,Minimum inhibitory concentration (lowest peptide concentration) required to prevent visible bacterial growth after 18 hr of incubation at 37 C in Mueller-Hinton broth against Acinetobacter baumannii 118A
CHEMBL411529,CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)CN)C(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(N)=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(C)C)C(=O)O,128000.0,nM,Minimum inhibitory concentration (lowest peptide concentration) required to prevent visible bacterial growth after 18 hr of incubation at 37 C in Mueller-Hinton broth against Acinetobacter baumannii 118A
CHEMBL411615,CC[C@H](C)[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](CO)NC(=O)[C@H](C)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CO)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCN)NC(=O)CN)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@H](C(=O)O)C(C)C,128000.0,nM,Minimum inhibitory concentration (lowest peptide concentration) required to prevent visible bacterial growth after 18 hr of incubation at 37 C in Mueller-Hinton broth against Acinetobacter baumannii 118A
CHEMBL2370872,CC[C@H](C)[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](CO)NC(=O)[C@H](CO[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CO)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCN)NC(=O)CN)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@H](C(=O)O)C(C)C,128000.0,nM,Minimum inhibitory concentration (lowest peptide concentration) required to prevent visible bacterial growth after 18 hr of incubation at 37 C in Mueller-Hinton broth against Acinetobacter baumannii 118A
CHEMBL2370871,CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)CN)C(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(N)=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CC(C)C)C(=O)O)[C@@H](C)O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1NC(C)=O,128000.0,nM,Minimum inhibitory concentration (lowest peptide concentration) required to prevent visible bacterial growth after 18 hr of incubation at 37 C in Mueller-Hinton broth against Acinetobacter baumannii 118A
CHEMBL1201259,CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H](CN)CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O.CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H]([C@@H](C)N)CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O.CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H]([C@@H](C)NC)CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O,32.0,ug.mL-1,Minimum inhibitory concentration (MIC) was measured against Acinetobacter baumanni ATCC 19606.
CHEMBL1384,NC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H](N)C[C@@H]2N)[C@H](O)[C@@H](O)[C@@H]1O,4.0,ug.mL-1,Minimum inhibitory concentration (MIC) was measured against Acinetobacter baumanni ATCC 19606.
CHEMBL272080,CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H](CN)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](N)C[C@H]2NC(=O)[C@@H](O)CN)OC[C@]1(C)O,32.0,ug.mL-1,Minimum inhibitory concentration (MIC) was measured against Acinetobacter baumanni ATCC 19606.
CHEMBL142949,CCNC1CC(N)C(OC2OC(CNC(=O)C(C)N)=CCC2N)C(O)C1OC1OCC(C)(O)C(NC)C1O,128.0,ug.mL-1,Minimum inhibitory concentration (MIC) was measured against Acinetobacter baumanni ATCC 19606.
CHEMBL1572,CCN[C@@H]1C[C@H](N)[C@@H](O[C@H]2OC(CN)=CC[C@H]2N)[C@H](O)[C@H]1O[C@H]1OC[C@](C)(O)[C@H](NC)[C@H]1O,32.0,ug.mL-1,Minimum inhibitory concentration (MIC) was measured against Acinetobacter baumanni ATCC 19606.
CHEMBL142355,CC(N)C(=O)NC1CC(N)C(OC2OC(CN)C(O)C(O)C2O)C(O)C1OC1OC(CO)C(O)C(N)C1O,128.0,ug.mL-1,Minimum inhibitory concentration (MIC) was measured against Acinetobacter baumanni ATCC 19606.
CHEMBL177,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,16.0,ug.mL-1,Minimum inhibitory concentration (MIC) was measured against Acinetobacter baumanni ATCC 19606.
CHEMBL397431,C[C@@H](O)C1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](CN4CCN(C)S4(=O)=O)C3)[C@H](C)C12,12.5,ug.mL-1,Antibacterial activity against Acinetobacter baumannii 2289 after 18 to 24 hrs by agar dilution method
CHEMBL127,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)N(C)C)C3)[C@H](C)[C@H]12,12.5,ug.mL-1,Antibacterial activity against Acinetobacter baumannii 2289 after 18 to 24 hrs by agar dilution method
CHEMBL148,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,12.5,ug.mL-1,Antibacterial activity against Acinetobacter baumannii 2289 after 18 to 24 hrs by agar dilution method
CHEMBL244499,C[C@@H](O)C1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](CN4CCCN(C)S4(=O)=O)C3)[C@H](C)C12,3.12,ug.mL-1,Antibacterial activity against Acinetobacter baumannii 2289 after 18 to 24 hrs by agar dilution method
CHEMBL244498,C[C@@H](O)C1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](CN4CCCNS4(=O)=O)C3)[C@H](C)C12,6.25,ug.mL-1,Antibacterial activity against Acinetobacter baumannii 2289 after 18 to 24 hrs by agar dilution method
CHEMBL244497,C[C@@H](O)C1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](CN4CCOS4(=O)=O)C3)[C@H](C)C12,12.5,ug.mL-1,Antibacterial activity against Acinetobacter baumannii 2289 after 18 to 24 hrs by agar dilution method
CHEMBL395991,C[C@@H](O)C1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](CN4CCN(Cc5ccccc5)S4(=O)=O)C3)[C@H](C)C12,50.0,ug.mL-1,Antibacterial activity against Acinetobacter baumannii 2289 after 18 to 24 hrs by agar dilution method
CHEMBL244310,C[C@@H](O)C1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](CN4CCNS4(=O)=O)C3)[C@H](C)C12,12.5,ug.mL-1,Antibacterial activity against Acinetobacter baumannii 2289 after 18 to 24 hrs by agar dilution method
CHEMBL397672,C[C@@H](O)C1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](CN4CC(C)(C)NS4(=O)=O)C3)[C@H](C)C12,12.5,ug.mL-1,Antibacterial activity against Acinetobacter baumannii 2289 after 18 to 24 hrs by agar dilution method
CHEMBL244307,CC1CN(C[C@@H]2C[C@H](SC3=C(C(=O)O)C4C(=O)C([C@@H](C)O)C4[C@H]3C)CN2)S(=O)(=O)N1,25.0,ug.mL-1,Antibacterial activity against Acinetobacter baumannii 2289 after 18 to 24 hrs by agar dilution method
CHEMBL244119,CCN1CCN(C[C@@H]2C[C@H](SC3=C(C(=O)O)N4C(=O)C([C@@H](C)O)C4[C@H]3C)CN2)S1(=O)=O,25.0,ug.mL-1,Antibacterial activity against Acinetobacter baumannii 2289 after 18 to 24 hrs by agar dilution method
CHEMBL376140,CN(C)c1cc(NC(=O)CNC(C)(C)C)c(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,0.25,ug.mL-1,Antibacterial activity against Acinetobacter baumannii
CHEMBL177,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,8.0,ug.mL-1,Antibacterial activity against TEM92 ESBL-producing Acinetobacter baumannii by CLSI method
CHEMBL127,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)N(C)C)C3)[C@H](C)[C@H]12,2.0,ug.mL-1,Antibacterial activity against TEM92 ESBL-producing Acinetobacter baumannii by CLSI method
CHEMBL148,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,1.0,ug.mL-1,Antibacterial activity against TEM92 ESBL-producing Acinetobacter baumannii by CLSI method
CHEMBL158,C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,128.0,ug.mL-1,Antibacterial activity against TEM92 ESBL-producing Acinetobacter baumannii by CLSI method
CHEMBL186,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[N+]3(C)CCCC3)CS[C@H]12)c1csc(N)n1,128.0,ug.mL-1,Antibacterial activity against TEM92 ESBL-producing Acinetobacter baumannii by CLSI method
CHEMBL44354,CC(C)(O/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CS[C@H]12)c1csc(N)n1)C(=O)O,128.0,ug.mL-1,Antibacterial activity against TEM92 ESBL-producing Acinetobacter baumannii by CLSI method
CHEMBL161,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(O)nn3C)CS[C@H]12)c1csc(N)n1,128.0,ug.mL-1,Antibacterial activity against TEM92 ESBL-producing Acinetobacter baumannii by CLSI method
CHEMBL702,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3[C@@H]2SC(C)(C)[C@@H]3C(=O)O)c2ccccc2)C(=O)C1=O,128.0,ug.mL-1,Antibacterial activity against TEM92 ESBL-producing Acinetobacter baumannii by CLSI method
CHEMBL33,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,32.0,ug.mL-1,Antibacterial activity against TEM92 ESBL-producing Acinetobacter baumannii by CLSI method
CHEMBL8,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,32.0,ug.mL-1,Antibacterial activity against TEM92 ESBL-producing Acinetobacter baumannii by CLSI method
CHEMBL1747,NC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H](N)C[C@@H]2N)[C@H](N)C[C@@H]1O,32.0,ug.mL-1,Antibacterial activity against TEM92 ESBL-producing Acinetobacter baumannii by CLSI method
CHEMBL3039597,CNC(C)[C@@H]1CC[C@@H](N)[C@@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H](N)C[C@@H]2N)O1.CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H](C(C)N)CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O.CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H](CN)CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O,128.0,ug.mL-1,Antibacterial activity against TEM92 ESBL-producing Acinetobacter baumannii by CLSI method
CHEMBL1730,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(C)=O)CS[C@H]12)c1csc(N)n1,128.0,ug.mL-1,Antibacterial activity against TEM92 ESBL-producing Acinetobacter baumannii by CLSI method
CHEMBL44354,CC(C)(O/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CS[C@H]12)c1csc(N)n1)C(=O)O,16.0,ug.mL-1,Antibacterial activity against Acinetobacter baumannii by CLSI method
CHEMBL1730,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(C)=O)CS[C@H]12)c1csc(N)n1,16.0,ug.mL-1,Antibacterial activity against Acinetobacter baumannii by CLSI method
CHEMBL148,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,8.0,ug.mL-1,Antibacterial activity against Acinetobacter baumannii by CLSI method
CHEMBL376140,CN(C)c1cc(NC(=O)CNC(C)(C)C)c(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,0.125,ug.mL-1,Antimicrobial activity against Acinetobacter baumannii D54 by agar dilution method
CHEMBL376140,CN(C)c1cc(NC(=O)CNC(C)(C)C)c(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,2.0,ug.mL-1,Antimicrobial activity against Acinetobacter baumannii A24 by agar dilution method
